comment
"Assalamualaikum
Pak, apakah bisa di share materi nya?"
"Assalamualaikum Pak,video Bapak UD berumur 2 tahun.
Apakah sangat berdampak AI pada kehidupan kita?"
kenapa AI sangat mirip dengan machine learning
pa pingin request bahas model2 lainnya juga hehee terima kasih pak atas ilmunya..
Bpk saya ingin belajar lebih banyak lagi dari bpk dosen 🙏
Saya suka penjelasan analogi submaterinya.  Makasih pak
"mantab mas fahri, baru tau ternyata subscribernya sudah wow... lanjutkan menebar ilmu"
"Pak dosen apakah regresi di statustika sama dg regresi di machine learning, kalau gak salah namanya SVR? Kalau berbeda di mana letak perbedaannya?"
buka kursus untuk membuat machine learning tidak pak?
Coba lgsg praktek d komputer coding nya dan implementasi k Instagram atau k mna yang relevan
"it's been a long time, since i was looking for ML tutorial. Finally found this video which is very easy to understand. Terima kasih banyak Pak!"
bagus penjelasan dan visualisasinya
"Metode untuk learning ini berarti machine learning dan deep learning pak ya.. soalnya masih bingung, dimana posisi maschine learning di AI ini. Apakah dia algoritma untuk learning ini atau bagaimana.."
Alhamdulillah Barokallah Ustadz Fahri
pendatang baru. dari web programming pindah ke machine learning. A.I >= ML.
"izin tanya pak, apakah decision tree tidak bisa menghasilkan data numeric?"
"Terimakasih, satu pertanyaan, apakah komputer bisa melakukan kesimpulan dari banyaknya data yang di masukkan, bukanya kesimpulan itu diberikan programer, kalau otak manusia saya yakin bisa menyimpulkan tapi kalau komputer bukankah komputer cuma tahu 1 dan 0 ada arus dan tidak ada arus, tolong penjelasannya"
Terima kasih banyak pak
Aduh udh 1 tahun ga upload video lagi
"aduh saya ikut mbkm bangkit pljrn mesin learning cape bet belajar sendiri dibelikan materi corsera nya b.ing banyk lagi dedline mepet2, mending nonton ini ngerti"
Terimakasih suka mudah dimengerti
"Mau skripsi ambil topik ML. Masih bingung, akhirnya nemu ini, saya sangat berterima kasih banyak. Jadi paham."
"Expert system diagnosa penyakit masuknya reasoning ya pak? Berdasarkan penjelasan bapak pada supervised learning berarti bisa dikategorikan learning juga kah, karena membutuhkan keilmuan pakar/ ahli untuk validasi data?"
"Makasih pak, sangat sangat membantu memahami Machine Learning"
Terima kasih untuk penjelasannya
Makasih byk pak ilmunya 🙏🙏
pak kalo saya skripsi ngambil tema machine learning terus ngolah datanya pake rapid miner bukan pake python apa boleh pak ?
waalaikumsalam wr wb
"luarrr biasaa men mas..saya tadinya putus asa lanjut s2 karena baru kuliah dapet kaya gitu ga mudeng ga jelas..tpi lihat ini, semangatnya jadi membara lagi😂😂..mksh banget mas"
untuk jurnal2 tentang machine learning ada gak bang?
"makasih banyak pak, udah aku subscribe, nanti bakalan sering mampir sini 😀, btw masih satu domisili saya dri UII hehehehe"
Makasih banyak ya om🙏
"Mantap sekali,,,, Penjelasan Bapak memberikan banyak pencerahan kepada Saya,. Terima kasih banyak pak.,.."
pak apakah ada video pelatihan atau menjalankan ANN menggunakan program nya (matlan klu tdk salah).langkah-langkah  nya.
"13:51  mudah dipahami, Terimakasih pak🤩"
"Contoh kasus spam dalam kategorisasi email sebetulnya bisa dilakukan dengan filtering. Pertanyaannya adalah apa perbedaan filtering dengan ML tsb, mksh"
"Trimakasih ya pak, saya termasuk anak Indonesia yang belum ada biaya untuk kuliah tapi sangat terbantu oleh penjelasan bapak untuk saya belajar ❤"
Terima kasih pak
Terimakasih Pak Barakallahu fiik atas ilmunya 🙏
"nenek moyang kita lebih dahulu memondasikan ilmu AI  fengsui ,horoskop dll"
"pondasi AI SUDAH ADA di ilmu jawa kuno yaitu ilmu titen , trus di bukukan jadi primbon tapi secra visual"
"Pak apakah membuka kelas offline ? saya sangat ingin menjadi ML engineer, thanks!"
"Pak apakah saya  bisa berkonsultasi terkait rencana tesis saya terkait penerapan  machine learning terkhusus supervise learning  untuk peningkatan peningkatan literasi digital  melalui platform yang akan di bangun yaitu platform merdeka literasi digital..


Apakah saya bisa meminta sarannya bapak?"
izin download bang video nya...... buat belajar... sangat bermanfaat... terima kasih..
"Assalamu'alaiakum pak fahri, ada video terkait Heuristic Search ?"
Keren.... langsung paham penjabarannya. Terimakasih banyak Pak
Bang kalau penggunaan machine learning di bidang keuangan atau akuntansi itu contohnya seperti apa?
👍🏻🙏🏻
sangat mudah di pahami bapk.. pokoknya saya suka dengan cara pembelajran bapak...the best
Ini adalah video pertama yang saya tonton dari channel ini. Sangat membantu dan mudah dipahami. Terima kasih atas ilmunya 🙏
"Bagus banget Pak videonya, mudah dimengerti, terimakasih untuk ilmunya Pak 🙏"
Makasi pak
"terima kasih admin ,materinya mudah dipahami"
"Salam, Pak. Trims ilmunya, barokah buat keluarga semoga senantiasa terlimpah. Saya izin bertanya, terkait contoh penentuan berat badan yang ideal, Excel khan mudah sekali melakukan hal itu ya. Kita cukup membuat formula sederhana If-Case di satu sel excel. Dengan demikian, apakah Excel ini termasuk sistem AI?"
"izin bertanya pak, untuk svm sendiri apakah svm tersebut dapat mengklasifikasikan suatu objek lebih dari 2 kategori pak? terimakasih banyak pak, mohon untuk dijawab 🙏"
Supervised Learning seperti RAM dengan fitur ECC(Error Code Correction)
Alhamdulillah.tksh share ilmunya pak.sy lebih paham.barakallah pak.mohon utk buat LG pak Vidio utk prediksi ibu hamil yg mengalami risiko komplikasi kehamilan atau tdk  akan berisiko komplikasi(classifikasi)decesion tree.tksh pak ilmunya
"Alhamdulillah penjelasannya sangat mudah dimengerti, lebih mantap kalo dikasih referensi Pak, kayak siapa yg menciptakan atau mengusulkan algoritme tsb, dst. 

terima kasih banyak untuk ilmunya Pak 🙏"
"Mantap bgt banggg 🔥🔥🔥
Mindset dan ilmu di bidang data siencenya terbentuk secara sempurna 
Selama ini saya mencoba memahami ilmu data sience secara otodidak tapi msh kurang paham
Tapi setelah nonton video abang saya paham secara sempurna
Berkah pasti datang kepadamu bang 😁
Di tunggu bang pelajaran selanjutnya
Udah gue subscribe sama aktifin notifnya"
Izin bertanya pak untuk supervised learning regression itu pakai alogaritma apa ya
"Terima kasih banyak, sangat membantuu sekali"
"Terima kasih untuk ilmu nya sangat membantu, terus berkarya pak"
terimakasih ilmunya. izin menyimak pak
"Bagus penjelasannya mudah dipahami, Reverensi nya ambil dari mana pak? mau dimasukkan kedalam referensi penelitian 🙏🏻"
"Makasih mas , alhamdulillah jadi paham skr"
Terimakasih
Buku recommendate utk belajar machine learning dari nol apa pak? Tks
bissmilah ambil topik ML. matur suwun ilmunya pak
"terimakasih pak,"
Sangat bermanfaat
"Alhamdulillah penjelasannya sangat mudah dimengerti, terima kasih banyak pak 🙏."
"Makasih banyak pak atas ilmunya, dosen saya pun suruh liat video bapak hehehe, seng tenaaaang masszehhh"
01:50 lupa diedit pak heheh😂
sukses terus untuk chanelnya pak 🙏
"Sangat membantu pak, terima kasih!
Ditunggu video selanjutnya, sehat selalu Pak.."
Mantab pak fahri 👍👍👍
MANTAP Sekali pak. Sangat membantu saya dalam memahami apa itu Ai yang kebetulan ini sedang melakukan Penelitian Skripsi seputar Ai. Semangat Terus Pak!!!
"I'm a new subscriber ka. Thank you for sharing! 
Sekarang lagi belajar fundamental ML and how to make LLM. 
Walaupun sebelumnya ada background apps and web developer, but it's not that easy to learn."
Rekomendasi ecourse machine learning dong kak
"Kak, kuliah s2 dimana tu?"
Aku background IT sampe sekarang masih 10% pengetahuan tentang AI / Machine Learning.
berarti kakak beruntung dibimbing waktu s2 tentang machine learning
Kita sejaman. Mohon bantuannya saya pengen belajar juga hehe
kak helpful bangett!!
Great sharing
"saya bkn background IT, sdg ikut bootcamp selama 4 bulan data science dan untuk bisa mengerti koding dgn python, statistik dan machine learning itu mmg gk semudah itu"
saya mau apply beasiswa antara front end dev / machine learning. sebagai org yg gapunya background IT bingung pilih mana😂 mohon bantuannya kak 🙏
kak mira sebelum di machine learning di bidang apa kak?
AI/ML dijadikan topik skripsi itu susah gk ya? Apakah nanti bakal kelabakan bikinnya? Aku pengen ambil topik di bidang itu tapi takut nanti malah kesusahan dan akhirnya gk lulus. Sarannya dong kak
"Saya merupakan lulusan bidang non IT tepatnya di bidang teknik yang ingin menjadi seorang data scientist/data analyst yg sekarnag sedang mengikuti bootcamp mohon doanya kak Mira dan teman teman supaya saya bisa paham materi Mechine Learning dan materi lainnya, karena jujur saya masih kaget dan bingung saat baru belajar mechine learning"
"cara belajar ny sama bgt lagi kak, mesti tau big picture ny dlu baru bisa paham"
Pengen berkarir di bidang data science atau machine learning tp apalah daya cuman lulusan SMA. Sementara skrng kebanyakan industri nyarinya yg bergelar 😁
"aku kesini karena lagi ngambil course gratis ""machine learning untuk pemula"""
Kaka adalah saya
"kalo kamu masih serpihan debu, lalu aku apa? serpihan atomnya?"
Thanks kak penjelasannya
"Aku bukan dengerin materinya, tapi liatin orangnya wkwk"
Gw mah udah jagoan koding. Tahapannya setelah itu mbak mira ajarin donk. Terima kasih
kecil kali suara nya kak
keren kak penjelasannya  kalau di dosen gua sekarang langsung terjun kak nggak di kasih tau apa langsung presentasi kodingan dkk 😂😂
entah kenapa betah nongkrong di channel ini
thank you udah sharing kak 😄😄
"sekarang aku udh smstr 3 dan jujur emg masih binggung sama ml. aku yg emg dari sma no basic apapun , ketemu dunia percodingan dan juga ml an binggung sih kak. kak ada saran pembelajaran untuk mengerti machine learning lebih dalam ga ya kak?"
Utk belajar data science apakah harus menguasai machine learning dulu mbak? Tks
More challenging with machine learning and auto machine learning 😘
Kaka Mira minta IG nya donk
"Hayulah tutornya soalnya gimana ya,  udah belajar dari chanel ini itu buku ini itu kaya belom nyangkut,  btw s2 dimana"
Mantap gan
Makasih
"Bang tolong bahas ann,rnn,dan cnn"
"Terimakasih atas informasinya, sangat membantu"
"Ijin bertanya, untuk menjalankan aplikasi itu bagaimana spek laptopnya?"
Nanas
Mantap minnnn
Menarik banget
"01:57 AI untuk membantu manusia namun perlu diterjemahkan lagi siapa manusia yang dibantu? Umat manusia atau segelintir manusia?
02:55 apakah di situs atau aplikasi cek plagiat dipasang machine learning?
Dan terakhir, apakah AI dapat di-implankan ke manusia dan terkoneksi serta berinteraksi dengan otak manusia?"
Bang  ?? Ada no wa atau tele gk
Sotoy bng anjir masa di market place pake deeplearning ngakak
👍👍👍
Kalau main catur terus lawannya bot tapi jago banget itu dia belajar dari otak siapa bang? Soalnya jago bener
Mantuls informasinya
🔥🔥
"Wahhh setelah sekian lama gak upload, akhirnya muncul lagi! Kalau bisa banyakin konten kayak gini Min"
Keren! Sering sering buat video kayak gini Kak
"Sangat informatif, thanks min informasi nya"
Ternyata masih sedikit ya perusahaan yang sudah menerapkan AI di Indonesia
Pantes aja komputer FIFA susah banget
"Walahhhhh, ternyata contoh Machine Learning tuh seperti itu yaa. Sumpah gue baru tau. Thanks Min!"
"sangat informatif kontennya, penjelasannya mengenai AI, ML dan DLnya juga tidak terlalu rumit dan mudah dipahami... mantab"
"Informatif banget nih 👍🏼💥

Jadi tau sekarang apa itu AI, ML dan DL dikasih contoh2 nya juga jadi cepet paham 😁"
"personal timestamp
56:49"
17:05 28/10/2024
"aku mau ig nya dong kak, mau nge dm kakak."
Tks. Atas materinya
Ilmu mahal dikasih gratis❤
"Kalau ada kursus Machine learning, deeplearning  in python for Power BI, saya mau ikut dongs"
1:57:35
kamsahamnida
42:42
makasih kak aku baru mulai mau belajar machine learning semoga dipermudah
"Kak, kalau dah kelar nonton aku akan balik komen lagi"
"6 jam buat bahas preprocessing hahah mantap, anw trims pak materinya"
mas bisa coding ga?
makasi banyak pak❤
"wah ini mas irwansyah, sepuh di forum fb kah"
Ka mau dapat file collab dmn
"mas, bagi file ppt nya"
terimakasih ilmunya lumayan ilmu dasar saya jadi makin kuat 😄🙏🙏
makasih mas atas share ilmu nya
bikin part 2 nya bang hehe
"Makasih mas, kami yang membangun ML otodidak bisa banyak belajar."
"Mas, machine learning akhir akhir ini di dunia kerja lagi hype/naik naiknya ya?😅"
bang boleh lihat pptnya?
"【 Personal Timestamp 】
09:08:28 Random Forest"
datasetnya mana woy
gua suka gaya lo
Terimakasih banyak mas atas ilmunya
"Karena cukup panjang, ambil nafas dulu.. wkwk semoga kelar sampai akhir"
"Terimakasih banyak atas ilmunya  bg, sehat selalu bg😊"
thanks bang ilmunya😎
"Gw subcribe lu bang,keren amat dah,jarang gw nemu org baik kaya elu❤"
"kak, mau PPT dong :)"
yaallah serasa belajar 1 sks full secara gratis
"lebih enak chanel ini keknya
aku langsung ke menit [2:11:24], Perandaiannya harus dapet."
makasih
Note 01:58:00
"terima kasih mas, pelajarannya... mantab..... izin download mas...... buat belajar, sangat bermanfaat...."
"saya bidang mechanical engineering...saya pikir didalamnya mempelajari juga ilmu mesin  termodinamika , dinamika pemesinan. motor bakar .. dan getaran mekanis ...ternyata bahasanya ngga bisa saya pahami.."
"orang Sunda deui, Subscribe ah... ! 
cuma kebetulan seh orang yg punya channel ini orang sunda, padahal saya Subscribe juga channel2 lain yg bukan orang sunda tergantung penjelasannya masuk ke saya atau tidak, semangat lah buat orang Indonesia untuk kita maju menjadi yg terdepan dalam iT !!"
"tks, bermanfaat sekali..."
"Buku belajar machine learning yang digunakan pada video ini ada di link berikut:

https://shp.ee/q3gwheq"
"terimakasih pak irwan, penjelasanya asyik. semoga sukses selalu"
"PERSONAL TIME STAMP
7:21:03"
"6:22:55 Meanwhile, saya yang mendengarkan dengan kecepatan 1.5 🗿🗿"
di sesi one hot encoding kayaknya perlu basic statistika buat ngerti. btw bukannya pake regresi logistik biner ya? soalnya outcomenya binomial
